major_city,uszip_county,inc_tot,np_cnt,inc_rank,nbr_np_rank,inc_rank_seq,np_cnt_rank_seq,dc_place,Count_Person,Median_Age_Person,dc_all_names,dc_name,dc_usCensusGeoId,dc_latitude,dc_longitude,dc_musicbrainzAreaId,dc_fips553,dc_wikidataId,dc_contained,dc_zip,dc_county,dc_county_name,cnty_sub_o_ind,NAME,cnty_sub_B01001_001E,cnty_sub_state,cnty_sub_county,county subdivision,cnty_sub_name,acs5_name,place_B01001_001E,state,acs5_place_fips,acs5_city,cnty_B01001_001E,state_fips,cnty_fips,county_name,state_name,city_population,city_pop_src
Milford,Otsego County,819176.0,15,846.0,731.0,846,732,geoId/3647229,367.0,56.2,"['Milford', 'Milford (village), New York']",Milford,1600000US3647229,42.59,-74.946865,,36-47229,Q3460682,"['geoId/36', 'geoId/36077', 'zip/13807']",13807,geoId/36077,Otsego County,688.0,"Milford town, Otsego County, New York",2828.0, New York,Otsego County,47240,Milford,"Milford village, New York",462.0,36,47229,Milford,59678.0,36.0,077,Otsego County, New York,2828.0,Census ACS5 County Subdivision
Delanson,Schenectady County,945783.0,15,815.0,731.0,815,733,geoId/3620082,335.0,33.0,['Delanson'],Delanson,1600000US3620082,42.748099,-74.182443,,,,"['geoId/36', 'geoId/36093', 'zip/12053']",12053,geoId/36093,Schenectady County,,,,,,,,"Delanson village, New York",329.0,36,20082,Delanson,159447.0,36.0,093,Schenectady County, New York,329.0,Census ACS5 Places
Loch Sheldrake,Sullivan County,75198704.0,15,224.0,731.0,224,734,geoId/3643038,,19.5,['Loch Sheldrake'],Loch Sheldrake,1600000US3643038,41.775216,-74.65965,,,,"['geoId/36', 'geoId/36105']",,geoId/36105,Sullivan County,,,,,,,,"Loch Sheldrake CDP, New York",1623.0,36,43038,Loch Sheldrake,78725.0,36.0,105,Sullivan County, New York,1623.0,Census ACS5 Places
Hannibal,Oswego County,909712.0,15,821.0,731.0,821,735,geoId/3632017,535.0,32.6,"['Hannibal', 'Hannibal (village), New York']",Hannibal,1600000US3632017,43.319437,-76.5761,,36-32017,Q3460753,"['geoId/36', 'geoId/36075', 'zip/13074']",13074,geoId/36075,Oswego County,660.0,"Hannibal town, Oswego County, New York",4526.0, New York,Oswego County,32028,Hannibal,"Hannibal village, New York",708.0,36,32017,Hannibal,118037.0,36.0,075,Oswego County, New York,4526.0,Census ACS5 County Subdivision
Hogansburg,St. Lawrence County,3726130.0,15,572.0,731.0,572,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,108670.0,36.0,089,St. Lawrence County, New York,,
Kirkwood,Broome County,1061130.0,15,790.0,731.0,790,737,geoId/3639837,5495.0,,['Kirkwood'],Kirkwood,,42.081111111111,-75.809722222222,,36-39837,Q3708350,['geoId/36007'],,geoId/36007,Broome County,52.0,"Kirkwood town, Broome County, New York",5483.0, New York,Broome County,39837,Kirkwood,,,,,,198365.0,36.0,007,Broome County, New York,5483.0,Census ACS5 County Subdivision
Breezy Point,Queens County,1095692.0,15,783.0,731.0,783,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
De Ruyter,Madison County,92683.0,15,1242.0,731.0,1242,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,68020.0,36.0,053,Madison County, New York,,
Earlville,Madison County,711034.0,15,875.0,731.0,875,740,,,,,,,,,,,,,,,,,,,,,,,"Earlville village, New York",629.0,36,21523,Earlville,68020.0,36.0,053,Madison County, New York,629.0,Census ACS5 Places
Speculator,Hamilton County,12879570.0,15,431.0,731.0,431,741,geoId/3670123,406.0,62.2,['Speculator'],Speculator,1600000US3670123,43.5269,-74.356232,,36-70123,Q951712,"['geoId/36', 'geoId/36041']",,geoId/36041,Hamilton County,,,,,,,,"Speculator village, New York",388.0,36,70123,Speculator,5090.0,36.0,041,Hamilton County, New York,388.0,Census ACS5 Places
Maryknoll,Westchester County,261216.0,15,1078.0,731.0,1078,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,997904.0,36.0,119,Westchester County, New York,,
Wainscott,Suffolk County,7833212.0,15,483.0,731.0,483,743,geoId/3677805,904.0,55.4,['Wainscott'],Wainscott,1600000US3677805,40.9525,-72.245277777778,,36-77805,Q516171,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Wainscott CDP, New York",585.0,36,77805,Wainscott,1524486.0,36.0,103,Suffolk County, New York,585.0,Census ACS5 Places
Verona,Oneida County,1682593.0,15,691.0,731.0,691,744,geoId/3677167,6293.0,30.9,['Verona'],Verona,1600000US3677167,43.13675,-75.571694,,,,"['geoId/36', 'geoId/36065', 'zip/13478']",13478,geoId/36065,Oneida County,574.0,"Verona town, Oneida County, New York",5954.0, New York,Oneida County,77178,Verona,"Verona CDP, New York",1363.0,36,77167,Verona,231055.0,36.0,065,Oneida County, New York,5954.0,Census ACS5 County Subdivision
Marcy,Oneida County,397876.0,15,997.0,731.0,997,745,geoId/3645535,8777.0,,['Marcy'],Marcy,,43.166666666667,-75.283333333333,,36-45535,Q3123263,['geoId/36065'],,geoId/36065,Oneida County,563.0,"Marcy town, Oneida County, New York",8697.0, New York,Oneida County,45535,Marcy,"Marcy CDP, New York",791.0,36,45524,Marcy,231055.0,36.0,065,Oneida County, New York,8697.0,Census ACS5 County Subdivision
Jordan,Onondaga County,1652487.0,15,695.0,731.0,695,746,geoId/3638825,1192.0,38.7,['Jordan'],Jordan,1600000US3638825,43.0667,-76.4667,,36-38825,Q3452815,"['geoId/36', 'geoId/36067', 'zip/13080']",13080,geoId/36067,Onondaga County,,,,,,,,"Jordan village, New York",1480.0,36,38825,Jordan,472637.0,36.0,067,Onondaga County, New York,1480.0,Census ACS5 Places
Sharon Springs,Schoharie County,419071.0,15,987.0,731.0,987,747,geoId/3666663,483.0,36.6,['Sharon Springs'],Sharon Springs,1600000US3666663,42.793006,-74.612835,,36-66663,Q3452989,"['geoId/36', 'geoId/36095', 'zip/13459']",13459,geoId/36095,Schoharie County,,,,,,,,"Sharon Springs village, New York",632.0,36,66663,Sharon Springs,29970.0,36.0,095,Schoharie County, New York,632.0,Census ACS5 Places
Nunda,Livingston County,323255.0,15,1038.0,731.0,1038,748,wikidataId/Q7069788,3064.0,,['Nunda'],Nunda,,42.57951,-77.9425,,,Q7069788,['geoId/36051'],,geoId/36051,Livingston County,471.0,"Nunda town, Livingston County, New York",2719.0, New York,Livingston County,54089,Nunda,"Nunda village, New York",1140.0,36,54078,Nunda,61980.0,36.0,051,Livingston County, New York,2719.0,Census ACS5 County Subdivision
Colden,Erie County,428370.0,15,982.0,731.0,982,749,,,,,,,,,,,,,,,,290.0,"Colden town, Erie County, New York",3143.0, New York,Erie County,16870,Colden,,,,,,951232.0,36.0,029,Erie County, New York,3143.0,Census ACS5 County Subdivision
Hammond,St. Lawrence County,447913.0,15,970.0,731.0,970,750,wikidataId/Q3709329,1191.0,,['Hammond'],Hammond,,44.448888888889,-75.694166666667,,,Q3709329,['geoId/36089'],,geoId/36089,St. Lawrence County,743.0,"Hammond town, St. Lawrence County, New York",1510.0, New York,St. Lawrence County,31841,Hammond,"Hammond village, New York",269.0,36,31830,Hammond,108670.0,36.0,089,St. Lawrence County, New York,1510.0,Census ACS5 County Subdivision
Willsboro,Essex County,1832983.0,15,676.0,731.0,676,751,geoId/3682260,1905.0,48.1,['Willsboro'],Willsboro,1600000US3682260,44.363503,-73.393164,,,,"['geoId/36', 'geoId/36031', 'zip/12996']",12996,geoId/36031,Essex County,327.0,"Willsboro town, Essex County, New York",1983.0, New York,Essex County,82271,Willsboro,"Willsboro CDP, New York",753.0,36,82260,Willsboro,37314.0,36.0,031,Essex County, New York,1983.0,Census ACS5 County Subdivision
West Chazy,Clinton County,279839.0,15,1064.0,731.0,1064,752,geoId/3679543,558.0,57.9,['West Chazy'],West Chazy,1600000US3679543,44.817845,-73.5102,,36-79543,Q6166888,"['geoId/36', 'geoId/36019', 'zip/12992']",12992,geoId/36019,Clinton County,,,,,,,,"West Chazy CDP, New York",481.0,36,79543,West Chazy,79839.0,36.0,019,Clinton County, New York,481.0,Census ACS5 Places
Mendon,Monroe County,13957269.0,15,425.0,731.0,425,753,wikidataId/Q3709248,9095.0,,['Mendon'],Mendon,,42.997777777778,-77.504444444444,,,Q3709248,['geoId/36055'],,geoId/36055,Monroe County,504.0,"Mendon town, Monroe County, New York",9089.0, New York,Monroe County,46558,Mendon,,,,,,756406.0,36.0,055,Monroe County, New York,9089.0,Census ACS5 County Subdivision
Port Byron,Cayuga County,476113.0,15,956.0,731.0,956,754,geoId/3659212,1101.0,39.3,['Port Byron'],Port Byron,1600000US3659212,43.0333,-76.625304,,36-59212,Q3452450,"['geoId/36', 'geoId/36011', 'zip/13140']",13140,geoId/36011,Cayuga County,,,,,,,,"Port Byron village, New York",1049.0,36,59212,Port Byron,76171.0,36.0,011,Cayuga County, New York,1049.0,Census ACS5 Places
Pine City,Chemung County,616670.0,15,908.0,731.0,908,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,83584.0,36.0,015,Chemung County, New York,,
Duanesburg,Schenectady County,256325.0,15,1082.0,731.0,1082,756,geoId/3621006,5863.0,,['Duanesburg'],Duanesburg,,42.761944444444,-74.133611111111,,36-21006,Q2913559,['geoId/36093'],,geoId/36093,Schenectady County,786.0,"Duanesburg town, Schenectady County, New York",5987.0, New York,Schenectady County,21006,Duanesburg,"Duanesburg CDP, New York",326.0,36,20995,Duanesburg,159447.0,36.0,093,Schenectady County, New York,5987.0,Census ACS5 County Subdivision
Point Lookout,Nassau County,197088.0,15,1124.0,731.0,1124,757,geoId/3658849,1527.0,57.5,['Point Lookout'],Point Lookout,1600000US3658849,40.590634,-73.57941,,36-58849,Q3450779,"['geoId/36', 'geoId/36059', 'zip/11569']",11569,geoId/36059,Nassau County,,,,,,,,"Point Lookout CDP, New York",1110.0,36,58849,Point Lookout,1389160.0,36.0,059,Nassau County, New York,1110.0,Census ACS5 Places
Parish,Oswego County,543446.0,15,923.0,731.0,923,758,wikidataId/Q3710256,2558.0,,['Parish'],Parish,,43.40618,-76.12576,,,Q3710256,['geoId/36075'],,geoId/36075,Oswego County,669.0,"Parish town, Oswego County, New York",2423.0, New York,Oswego County,56352,Parish,"Parish village, New York",555.0,36,56341,Parish,118037.0,36.0,075,Oswego County, New York,2423.0,Census ACS5 County Subdivision
Prattsburgh,Steuben County,209980.0,15,1111.0,731.0,1111,759,geoId/3659708,1985.0,33.3,['Prattsburgh'],Prattsburgh,1600000US3659708,42.524795,-77.288316,,,,"['geoId/36', 'geoId/36101', 'zip/14873']",14873,geoId/36101,Steuben County,849.0,"Prattsburgh town, Steuben County, New York",1627.0, New York,Steuben County,59718,Prattsburgh,"Prattsburgh CDP, New York",659.0,36,59708,Prattsburgh,93584.0,36.0,101,Steuben County, New York,1627.0,Census ACS5 County Subdivision
Pine Island,Orange County,623407.0,15,907.0,731.0,907,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,401237.0,36.0,071,Orange County, New York,,
Petersburg,Rensselaer County,5496719.0,14,521.0,761.0,521,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,160943.0,36.0,083,Rensselaer County, New York,,
Conklin,Broome County,350868.0,14,1021.0,761.0,1021,762,geoId/3617772,5008.0,,['Conklin'],Conklin,,42.034166666667,-75.803888888889,,36-17772,Q3708795,['geoId/36007'],,geoId/36007,Broome County,49.0,"Conklin town, Broome County, New York",4999.0, New York,Broome County,17772,Conklin,,,,,,198365.0,36.0,007,Broome County, New York,4999.0,Census ACS5 County Subdivision
Sherman,Chautauqua County,803730.0,14,850.0,761.0,850,763,geoId/3666949,649.0,38.5,"['Sherman', 'Sherman (village), New York']",Sherman,1600000US3666949,42.159234,-79.594253,,36-66949,Q3460645,"['geoId/36', 'geoId/36013', 'zip/14781']",14781,geoId/36013,Chautauqua County,151.0,"Sherman town, Chautauqua County, New York",1359.0, New York,Chautauqua County,66960,Sherman,"Sherman village, New York",567.0,36,66949,Sherman,127440.0,36.0,013,Chautauqua County, New York,1359.0,Census ACS5 County Subdivision
Unadilla,Otsego County,754074.0,14,864.0,761.0,864,764,geoId/3676012,4392.0,,['Unadilla'],Unadilla,,42.366111111111,-75.327777777778,,36-76012,Q2596590,['geoId/36077'],,geoId/36077,Otsego County,700.0,"Unadilla town, Otsego County, New York",4128.0, New York,Otsego County,76012,Unadilla,"Unadilla village, New York",945.0,36,76001,Unadilla,59678.0,36.0,077,Otsego County, New York,4128.0,Census ACS5 County Subdivision
Essex,Essex County,4834663.0,14,535.0,761.0,535,765,geoId/3624768,621.0,,['Essex'],Essex,,44.31,-73.3525,,36-24768,Q3708355,['geoId/36031'],,geoId/36031,Essex County,314.0,"Essex town, Essex County, New York",683.0, New York,Essex County,24768,Essex,,,,,,37314.0,36.0,031,Essex County, New York,683.0,Census ACS5 County Subdivision
Lyndonville,Orleans County,647376.0,14,901.0,761.0,901,766,geoId/3643918,771.0,37.6,['Lyndonville'],Lyndonville,1600000US3643918,43.321345,-78.3878,,36-43918,Q3459814,"['geoId/36', 'geoId/36073', 'geoId/3683448', 'zip/14098']",14098,geoId/36073,Orleans County,,,,,,,,"Lyndonville village, New York",829.0,36,43918,Lyndonville,40148.0,36.0,073,Orleans County, New York,829.0,Census ACS5 Places
Berne,Albany County,6607.0,14,1342.0,761.0,1342,767,geoId/3606211,2689.0,,['Berne'],Berne,,42.625277777778,-74.133333333333,,36-06211,Q2898999,['geoId/36001'],,geoId/36001,Albany County,1.0,"Berne town, Albany County, New York",2695.0, New York,Albany County,06211,Berne,,,,,,315041.0,36.0,001,Albany County, New York,2695.0,Census ACS5 County Subdivision
Arkport,Steuben County,273948.0,14,1068.0,761.0,1068,768,geoId/3602583,745.0,34.7,['Arkport'],Arkport,1600000US3602583,42.392596,-77.695482,8412408d-6ff4-4cbf-bdea-ddb2b83c01cc,36-02583,Q3453003,"['geoId/36', 'geoId/36101', 'zip/14807']",14807,geoId/36101,Steuben County,,,,,,,,"Arkport village, New York",1041.0,36,02583,Arkport,93584.0,36.0,101,Steuben County, New York,1041.0,Census ACS5 Places
Remsen,Oneida County,1016911.0,14,797.0,761.0,797,769,wikidataId/Q7312221,1929.0,,['Remsen'],Remsen,,43.3275,-75.186666666667,,,Q7312221,['geoId/36065'],,geoId/36065,Oneida County,567.0,"Remsen town, Oneida County, New York",1637.0, New York,Oneida County,61126,Remsen,"Remsen village, New York",410.0,36,61115,Remsen,231055.0,36.0,065,Oneida County, New York,1637.0,Census ACS5 County Subdivision
Philmont,Columbia County,294288.0,14,1052.0,761.0,1052,770,geoId/3657639,1377.0,50.9,['Philmont'],Philmont,1600000US3657639,42.249004,-73.646902,,,,"['geoId/36', 'geoId/36021']",,geoId/36021,Columbia County,,,,,,,,"Philmont village, New York",1559.0,36,57639,Philmont,61469.0,36.0,021,Columbia County, New York,1559.0,Census ACS5 Places
Westhampton,Suffolk County,3277700.0,14,586.0,761.0,586,771,geoId/3680170,3621.0,44.9,['Westhampton'],Westhampton,1600000US3680170,40.8228,-72.659916,,36-80170,Q3460058,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Westhampton CDP, New York",3769.0,36,80170,Westhampton,1524486.0,36.0,103,Suffolk County, New York,3769.0,Census ACS5 Places
Glen Spey,Sullivan County,10479240.0,14,453.0,761.0,453,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,78725.0,36.0,105,Sullivan County, New York,,
Saint Regis Falls,Franklin County,963616.0,14,807.0,761.0,807,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,47459.0,36.0,033,Franklin County, New York,,
Alexander,Genesee County,808731.0,14,848.0,761.0,848,774,geoId/3601154,518.0,35.3,"['Alexander', 'Alexander (village), New York']",Alexander,1600000US3601154,42.902021,-78.2583,,36-01154,Q3461090,"['geoId/36', 'geoId/36037', 'zip/14005']",14005,geoId/36037,Genesee County,362.0,"Alexander town, Genesee County, New York",2664.0, New York,Genesee County,01165,Alexander,"Alexander village, New York",507.0,36,01154,Alexander,58204.0,36.0,037,Genesee County, New York,2664.0,Census ACS5 County Subdivision
Claverack,Columbia County,5366956.0,14,524.0,761.0,524,775,geoId/3616045,6058.0,,['Claverack'],Claverack,,42.225,-73.734444444444,,36-16045,Q1022781,['geoId/36021'],,geoId/36021,Columbia County,208.0,"Claverack town, Columbia County, New York",6049.0, New York,Columbia County,16045,Claverack,,,,,,61469.0,36.0,021,Columbia County, New York,6049.0,Census ACS5 County Subdivision
Hurleyville,Sullivan County,3196654.0,14,591.0,761.0,591,776,geoId/3637154,,38.9,['Hurleyville'],Hurleyville,1600000US3637154,41.741859,-74.675357,,,,"['geoId/36', 'geoId/36105']",,geoId/36105,Sullivan County,,,,,,,,"Hurleyville CDP, New York",1381.0,36,37154,Hurleyville,78725.0,36.0,105,Sullivan County, New York,1381.0,Census ACS5 Places
Fallsburg,Sullivan County,1725660.0,14,686.0,761.0,686,777,geoId/3625241,14192.0,,['Fallsburg'],Fallsburg,,41.733333333333,-74.6,,36-25241,Q3569718,['geoId/36105'],,geoId/36105,Sullivan County,877.0,"Fallsburg town, Sullivan County, New York",14204.0, New York,Sullivan County,25241,Fallsburg,"Fallsburg CDP, New York",1996.0,36,25230,Fallsburg,78725.0,36.0,105,Sullivan County, New York,14204.0,Census ACS5 County Subdivision
Adams Center,Jefferson County,87476.0,14,1249.0,761.0,1249,778,geoId/3600232,1492.0,54.9,['Adams Center'],Adams Center,1600000US3600232,43.862222222222,-75.988663,,36-00232,Q1812896,"['geoId/36', 'geoId/36045', 'zip/13606']",13606,geoId/36045,Jefferson County,,,,,,,,"Adams Center CDP, New York",1022.0,36,00232,Adams Center,117445.0,36.0,045,Jefferson County, New York,1022.0,Census ACS5 Places
Avoca,Steuben County,92519.0,14,1243.0,761.0,1243,779,wikidataId/Q4829100,1996.0,,['Avoca'],Avoca,,42.410277777778,-77.425555555556,,,Q4829100,['geoId/36101'],,geoId/36101,Steuben County,828.0,"Avoca town, Steuben County, New York",2122.0, New York,Steuben County,03342,Avoca,"Avoca village, New York",923.0,36,03331,Avoca,93584.0,36.0,101,Steuben County, New York,2122.0,Census ACS5 County Subdivision
Oriskany Falls,Oneida County,1355608.0,14,742.0,761.0,742,780,geoId/3655376,658.0,38.7,['Oriskany Falls'],Oriskany Falls,1600000US3655376,42.93799,-75.4628,,36-55376,Q431883,"['geoId/36', 'geoId/36065', 'zip/13425']",13425,geoId/36065,Oneida County,,,,,,,,"Oriskany Falls village, New York",655.0,36,55376,Oriskany Falls,231055.0,36.0,065,Oneida County, New York,655.0,Census ACS5 Places
Hunter,Greene County,2512024.0,14,620.0,761.0,620,781,wikidataId/Q9005436,3035.0,,['Hunter'],Hunter,,42.2137,-74.21875,,,Q9005436,['geoId/36039'],,geoId/36039,Greene County,384.0,"Hunter town, Greene County, New York",3028.0, New York,Greene County,36178,Hunter,"Hunter village, New York",300.0,36,36167,Hunter,48067.0,36.0,039,Greene County, New York,3028.0,Census ACS5 County Subdivision
Woodridge,Sullivan County,70038.0,14,1279.0,761.0,1279,782,geoId/3682953,747.0,27.6,['Woodridge'],Woodridge,1600000US3682953,41.718402,-74.579965,,,,"['geoId/36', 'geoId/36105', 'zip/12789']",12789,geoId/36105,Sullivan County,,,,,,,,"Woodridge village, New York",936.0,36,82953,Woodridge,78725.0,36.0,105,Sullivan County, New York,936.0,Census ACS5 Places
Fabius,Onondaga County,86212.0,14,1250.0,761.0,1250,783,geoId/3624867,309.0,43.3,['Fabius'],Fabius,1600000US3624867,42.834666,-75.984786,,,,"['geoId/36', 'geoId/36067', 'zip/13063']",13063,geoId/36067,Onondaga County,584.0,"Fabius town, Onondaga County, New York",2099.0, New York,Onondaga County,24878,Fabius,"Fabius village, New York",357.0,36,24867,Fabius,472637.0,36.0,067,Onondaga County, New York,2099.0,Census ACS5 County Subdivision
Pattersonville,Schenectady County,490548.0,13,946.0,784.0,946,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,159447.0,36.0,093,Schenectady County, New York,,
Indian Lake,Hamilton County,894165.0,13,826.0,784.0,826,785,geoId/3637374,1352.0,,['Indian Lake'],Indian Lake,,43.7825,-74.271944444444,,36-37374,Q3708610,['geoId/36041'],,geoId/36041,Hamilton County,393.0,"Indian Lake town, Hamilton County, New York",1063.0, New York,Hamilton County,37374,Indian Lake,,,,,,5090.0,36.0,041,Hamilton County, New York,1063.0,Census ACS5 County Subdivision
Fort Covington,Franklin County,1849503.0,13,673.0,784.0,673,786,geoId/3626737,1531.0,,['Fort Covington'],Fort Covington,,44.989166666667,-74.494722222222,,36-26737,Q3077831,['geoId/36033'],,geoId/36033,Franklin County,339.0,"Fort Covington town, Franklin County, New York",1609.0, New York,Franklin County,26737,Fort Covington,"Fort Covington CDP, New York",1202.0,36,26726,Fort Covington,47459.0,36.0,033,Franklin County, New York,1609.0,Census ACS5 County Subdivision
Woodbourne,Sullivan County,4451210.0,13,548.0,784.0,548,787,geoId/3682733,411.0,47.2,['Woodbourne'],Woodbourne,1600000US3682733,41.761057,-74.597721,,36-82733,Q8032390,"['geoId/36', 'geoId/36105']",,geoId/36105,Sullivan County,,,,,,,,"Woodbourne CDP, New York",468.0,36,82733,Woodbourne,78725.0,36.0,105,Sullivan County, New York,468.0,Census ACS5 Places
Port Henry,Essex County,53836774.0,13,265.0,784.0,265,788,geoId/3659333,1150.0,55.8,['Port Henry'],Port Henry,1600000US3659333,44.0453,-73.4611,,36-59333,Q3123195,"['geoId/36', 'geoId/36031', 'zip/12974']",12974,geoId/36031,Essex County,,,,,,,,"Port Henry CDP, New York",1602.0,36,59333,Port Henry,37314.0,36.0,031,Essex County, New York,1602.0,Census ACS5 Places
Savannah,Wayne County,290272.0,13,1056.0,784.0,1056,789,geoId/3665343,1730.0,,['Savannah'],Savannah,,43.075,-76.76,,36-65343,Q3708745,['geoId/36117'],,geoId/36117,Wayne County,968.0,"Savannah town, Wayne County, New York",1461.0, New York,Wayne County,65343,Savannah,"Savannah CDP, New York",401.0,36,65332,Savannah,91324.0,36.0,117,Wayne County, New York,1461.0,Census ACS5 County Subdivision
Long Lake,Hamilton County,237066.0,13,1097.0,784.0,1097,790,geoId/3643401,791.0,63.8,['Long Lake'],Long Lake,1600000US3643401,43.967474,-74.426913,,,,"['geoId/36', 'geoId/36041', 'zip/12847']",12847,geoId/36041,Hamilton County,396.0,"Long Lake town, Hamilton County, New York",794.0, New York,Hamilton County,43412,Long Lake,"Long Lake CDP, New York",666.0,36,43401,Long Lake,5090.0,36.0,041,Hamilton County, New York,794.0,Census ACS5 County Subdivision
Houghton,Allegany County,42690484.0,13,288.0,784.0,288,791,geoId/3635771,1488.0,20.5,['Houghton'],Houghton,1600000US3635771,42.428298,-78.15,,36-35771,Q3462000,"['geoId/36', 'geoId/36003', 'zip/14744']",14744,geoId/36003,Allegany County,,,,,,,,"Houghton CDP, New York",1771.0,36,35771,Houghton,47222.0,36.0,003,Allegany County, New York,1771.0,Census ACS5 Places
Ransomville,Niagara County,447806.0,13,971.0,784.0,971,792,geoId/3660598,1316.0,40.1,['Ransomville'],Ransomville,1600000US3660598,43.2369,-78.912863,,36-60598,Q3461022,"['geoId/36', 'geoId/36063', 'zip/14131']",14131,geoId/36063,Niagara County,,,,,,,,"Ransomville CDP, New York",1554.0,36,60598,Ransomville,212230.0,36.0,063,Niagara County, New York,1554.0,Census ACS5 Places
Clyde,Wayne County,447494.0,13,972.0,784.0,972,793,geoId/3616573,2171.0,43.3,['Clyde'],Clyde,1600000US3616573,43.084162,-76.8703,,36-16573,Q3452843,"['geoId/36', 'geoId/36117', 'zip/14433']",14433,geoId/36117,Wayne County,,,,,,,,"Clyde village, New York",1955.0,36,16573,Clyde,91324.0,36.0,117,Wayne County, New York,1955.0,Census ACS5 Places
Bowmansville,Erie County,4197357.0,13,554.0,784.0,554,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,951232.0,36.0,029,Erie County, New York,,
Norfolk,St. Lawrence County,692552.0,13,879.0,784.0,879,795,wikidataId/Q3098924,4453.0,,['Norfolk'],Norfolk,,44.80089,-74.99103,,,Q3098924,['geoId/36089'],,geoId/36089,St. Lawrence County,753.0,"Norfolk town, St. Lawrence County, New York",4460.0, New York,St. Lawrence County,51330,Norfolk,"Norfolk CDP, New York",869.0,36,51319,Norfolk,108670.0,36.0,089,St. Lawrence County, New York,4460.0,Census ACS5 County Subdivision
Rensselaerville,Albany County,2003820.0,13,661.0,784.0,661,796,wikidataId/Q3709139,1826.0,,['Rensselaerville'],Rensselaerville,,42.479444444444,-74.171944444444,,,Q3709139,['geoId/36001'],,geoId/36001,Albany County,10.0,"Rensselaerville town, Albany County, New York",1798.0, New York,Albany County,61181,Rensselaerville,,,,,,315041.0,36.0,001,Albany County, New York,1798.0,Census ACS5 County Subdivision
Eastport,Suffolk County,1968642.0,13,667.0,784.0,667,797,geoId/3622810,2219.0,45.3,['Eastport'],Eastport,1600000US3622810,40.8311,-72.7297,,36-22810,Q3469016,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Eastport CDP, New York",2136.0,36,22810,Eastport,1524486.0,36.0,103,Suffolk County, New York,2136.0,Census ACS5 Places
Cohocton,Steuben County,644314.0,13,902.0,784.0,902,798,wikidataId/Q3709260,2268.0,,['Cohocton'],Cohocton,,42.50229,-77.50721,,,Q3709260,['geoId/36101'],,geoId/36101,Steuben County,835.0,"Cohocton town, Steuben County, New York",2387.0, New York,Steuben County,16738,Cohocton,"Cohocton village, New York",1101.0,36,16727,Cohocton,93584.0,36.0,101,Steuben County, New York,2387.0,Census ACS5 County Subdivision
Rouses Point,Clinton County,1719901.0,13,688.0,784.0,688,799,geoId/3663979,2195.0,45.4,['Rouses Point'],Rouses Point,1600000US3663979,44.9875,-73.36368,,36-63979,Q3123210,"['geoId/36', 'geoId/36019', 'zip/12979']",12979,geoId/36019,Clinton County,,,,,,,,"Rouses Point village, New York",2530.0,36,63979,Rouses Point,79839.0,36.0,019,Clinton County, New York,2530.0,Census ACS5 Places
West Falls,Erie County,2067028.0,13,653.0,784.0,653,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,951232.0,36.0,029,Erie County, New York,,
Chazy,Clinton County,14775404.0,13,413.0,784.0,413,801,geoId/3614113,4284.0,,['Chazy'],Chazy,,44.88976,-73.43597,,36-14113,Q3708310,['geoId/36019'],,geoId/36019,Clinton County,194.0,"Chazy town, Clinton County, New York",4100.0, New York,Clinton County,14113,Chazy,"Chazy CDP, New York",476.0,36,14102,Chazy,79839.0,36.0,019,Clinton County, New York,4100.0,Census ACS5 County Subdivision
Cleveland,Oswego County,1471895.0,13,721.0,784.0,721,802,geoId/3616188,732.0,34.3,['Cleveland'],Cleveland,1600000US3616188,43.2364,-75.8828,,36-16188,Q3452838,"['geoId/36', 'geoId/36075', 'zip/13042']",13042,geoId/36075,Oswego County,,,,,,,,"Cleveland village, New York",849.0,36,16188,Cleveland,118037.0,36.0,075,Oswego County, New York,849.0,Census ACS5 Places
Morris,Otsego County,1111873.0,13,782.0,784.0,782,803,geoId/3648483,486.0,41.5,['Morris'],Morris,1600000US3648483,42.548118,-75.245292,,36-48483,Q2841852,"['geoId/36', 'geoId/36077', 'zip/13808']",13808,geoId/36077,Otsego County,689.0,"Morris town, Otsego County, New York",1612.0, New York,Otsego County,48494,Morris,"Morris village, New York",492.0,36,48483,Morris,59678.0,36.0,077,Otsego County, New York,1612.0,Census ACS5 County Subdivision
