major_city,uszip_county,inc_tot,np_cnt,inc_rank,nbr_np_rank,inc_rank_seq,np_cnt_rank_seq,dc_place,Count_Person,Median_Age_Person,dc_all_names,dc_name,dc_usCensusGeoId,dc_latitude,dc_longitude,dc_musicbrainzAreaId,dc_fips553,dc_wikidataId,dc_contained,dc_zip,dc_county,dc_county_name,cnty_sub_o_ind,NAME,cnty_sub_B01001_001E,cnty_sub_state,cnty_sub_county,county subdivision,cnty_sub_name,acs5_name,place_B01001_001E,state,acs5_place_fips,acs5_city,cnty_B01001_001E,state_fips,cnty_fips,county_name,state_name,city_population,city_pop_src
North Salem,Westchester County,40573318.0,47,301.0,365.0,301,367,geoId/3653517,5243.0,,['North Salem'],North Salem,,41.328055555556,-73.613055555556,,36-53517,Q1022773,['geoId/36119'],,geoId/36119,Westchester County,986.0,"North Salem town, Westchester County, New York",5172.0, New York,Westchester County,53517,North Salem,,,,,,997904.0,36.0,119,Westchester County, New York,5172.0,Census ACS5 County Subdivision
Greenport,Suffolk County,78837311.0,47,216.0,365.0,216,368,geoId/3630576,2583.0,52.3,['Greenport'],Greenport,1600000US3630576,41.102428,-72.363888888889,,36-30576,Q94652,"['geoId/36', 'geoId/36103', 'zip/11944']",11944,geoId/36103,Suffolk County,,,,,,,,"Greenport village, New York",2569.0,36,30576,Greenport,1524486.0,36.0,103,Suffolk County, New York,2569.0,Census ACS5 Places
Warsaw,Wyoming County,8025250.0,47,479.0,365.0,479,369,wikidataId/Q7970879,5316.0,,['Warsaw'],Warsaw,,42.74,-78.133055555556,,,Q7970879,['geoId/36121'],,geoId/36121,Wyoming County,1012.0,"Warsaw town, Wyoming County, New York",5288.0, New York,Wyoming County,78344,Warsaw,"Warsaw village, New York",2937.0,36,78333,Warsaw,40338.0,36.0,121,Wyoming County, New York,5288.0,Census ACS5 County Subdivision
Henrietta,Monroe County,5904073.0,46,508.0,370.0,508,370,,,,,,,,,,,,,,,,502.0,"Henrietta town, Monroe County, New York",46451.0, New York,Monroe County,34099,Henrietta,,,,,,756406.0,36.0,055,Monroe County, New York,46451.0,Census ACS5 County Subdivision
Sanborn,Niagara County,16609674.0,46,398.0,370.0,398,371,geoId/3664958,,43.5,['Sanborn'],Sanborn,1600000US3664958,43.145054,-78.877748,,,,"['geoId/36', 'geoId/36063', 'zip/14132']",14132,geoId/36063,Niagara County,,,,,,,,"Sanborn CDP, New York",1499.0,36,64958,Sanborn,212230.0,36.0,063,Niagara County, New York,1499.0,Census ACS5 Places
Somers,Westchester County,4716940.0,46,538.0,370.0,538,372,geoId/3668308,21541.0,,['Somers'],Somers,,41.328055555556,-73.685555555556,,36-68308,Q3708471,['geoId/36119'],,geoId/36119,Westchester County,994.0,"Somers town, Westchester County, New York",21333.0, New York,Westchester County,68308,Somers,,,,,,997904.0,36.0,119,Westchester County, New York,21333.0,Census ACS5 County Subdivision
Springville,Erie County,39381083.0,46,306.0,370.0,306,373,geoId/3670442,4225.0,43.3,['Springville'],Springville,1600000US3670442,42.508067,-78.669361,a4fb7334-763f-496a-a790-2a2c177c168e,36-70442,Q3453137,"['geoId/36', 'geoId/36029', 'zip/14141']",14141,geoId/36029,Erie County,,,,,,,,"Springville village, New York",4223.0,36,70442,Springville,951232.0,36.0,029,Erie County, New York,4223.0,Census ACS5 Places
Mechanicville,Saratoga County,4604524.0,46,544.0,370.0,544,374,geoId/3646360,5163.0,37.0,['Mechanicville'],Mechanicville,1600000US3646360,42.903888888889,-73.688888,73522cdf-03dd-47b1-aa03-db3efa34492c,36-46360,Q1378444,"['geoId/36', 'geoId/36091', 'zip/12118']",12118,geoId/36091,Saratoga County,776.0,"Mechanicville city, Saratoga County, New York",5177.0, New York,Saratoga County,46360,Mechanicville,"Mechanicville city, New York",5177.0,36,46360,Mechanicville,236328.0,36.0,091,Saratoga County, New York,5177.0,Census ACS5 County Subdivision
Pound Ridge,Westchester County,14997861.0,46,410.0,370.0,410,375,geoId/3659685,5082.0,,['Pound Ridge'],Pound Ridge,,41.2086,-73.5747,,36-59685,Q1270755,['geoId/36119'],,geoId/36119,Westchester County,990.0,"Pound Ridge town, Westchester County, New York",5030.0, New York,Westchester County,59685,Pound Ridge,,,,,,997904.0,36.0,119,Westchester County, New York,5030.0,Census ACS5 County Subdivision
Rocky Point,Suffolk County,4976516.0,46,530.0,370.0,530,376,geoId/3663319,13633.0,39.7,['Rocky Point'],Rocky Point,1600000US3663319,40.939825,-72.927222222222,,36-63319,Q3459765,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Rocky Point CDP, New York",13716.0,36,63319,Rocky Point,1524486.0,36.0,103,Suffolk County, New York,13716.0,Census ACS5 Places
Sidney,Delaware County,6168321.0,46,503.0,370.0,503,377,geoId/3667345,5536.0,,['Sidney'],Sidney,,42.3,-75.283333333333,,36-67345,Q4352427,['geoId/36025'],,geoId/36025,Delaware County,254.0,"Sidney town, Delaware County, New York",5544.0, New York,Delaware County,67345,Sidney,"Sidney village, New York",3750.0,36,67334,Sidney,44637.0,36.0,025,Delaware County, New York,5544.0,Census ACS5 County Subdivision
Macedon,Wayne County,3459566.0,46,582.0,370.0,582,378,geoId/3644160,9148.0,,['Macedon'],Macedon,,43.067777777778,-77.303611111111,,36-44160,Q6723044,['geoId/36117'],,geoId/36117,Wayne County,963.0,"Macedon town, Wayne County, New York",9264.0, New York,Wayne County,44160,Macedon,"Macedon CDP, New York",1668.0,36,44149,Macedon,91324.0,36.0,117,Wayne County, New York,9264.0,Census ACS5 County Subdivision
Chittenango,Madison County,5683394.0,46,514.0,370.0,514,379,geoId/3615561,4896.0,39.3,['Chittenango'],Chittenango,1600000US3615561,43.0458,-75.8739,,36-15561,Q2533923,"['geoId/36', 'geoId/36053', 'zip/13037']",13037,geoId/36053,Madison County,,,,,,,,"Chittenango village, New York",4884.0,36,15561,Chittenango,68020.0,36.0,053,Madison County, New York,4884.0,Census ACS5 Places
Clayton,Jefferson County,101295396.0,45,185.0,380.0,185,380,geoId/3604516100,5153.0,48.1,"['Clayton', 'Clayton town, Jefferson County, New York']",Clayton,0600000US3604516100,44.1753,-76.0711,,36-045-16100,Q5130156,"['geoId/36', 'geoId/36045']",,geoId/36045,Jefferson County,426.0,"Clayton town, Jefferson County, New York",4781.0, New York,Jefferson County,16100,Clayton,"Clayton village, New York",1738.0,36,16089,Clayton,117445.0,36.0,045,Jefferson County, New York,4781.0,Census ACS5 County Subdivision
South Salem,Westchester County,10958555.0,45,448.0,380.0,448,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,997904.0,36.0,119,Westchester County, New York,,
Salamanca,Cattaraugus County,13997287.0,45,424.0,380.0,424,382,geoId/3664749,5929.0,37.8,['Salamanca'],Salamanca,1600000US3664749,42.1586,-78.7158,9f873c4c-fe7c-405a-a2cd-ad8126ecfc98,36-64749,Q1380435,"['geoId/36', 'geoId/36009']",,geoId/36009,Cattaraugus County,94.0,"Salamanca city, Cattaraugus County, New York",5906.0, New York,Cattaraugus County,64749,Salamanca,"Salamanca city, New York",5906.0,36,64749,Salamanca,77000.0,36.0,009,Cattaraugus County, New York,5906.0,Census ACS5 County Subdivision
Westfield,Chautauqua County,7507116.0,45,487.0,380.0,487,383,geoId/3679939,2910.0,50.5,['Westfield'],Westfield,1600000US3679939,42.321826,-79.574765,,36-79939,Q3461147,"['geoId/36', 'geoId/36013', 'zip/14787']",14787,geoId/36013,Chautauqua County,154.0,"Westfield town, Chautauqua County, New York",4556.0, New York,Chautauqua County,79950,Westfield,"Westfield village, New York",2714.0,36,79939,Westfield,127440.0,36.0,013,Chautauqua County, New York,4556.0,Census ACS5 County Subdivision
Pine Bush,Ulster County,7653018.0,45,486.0,380.0,486,384,,,,,,,,,,,,,,,,,,,,,,,"Pine Bush CDP, New York",1659.0,36,57980,Pine Bush,182153.0,36.0,111,Ulster County, New York,1659.0,Census ACS5 Places
Miller Place,Suffolk County,3845320.0,45,567.0,380.0,567,385,geoId/3647306,11723.0,41.2,['Miller Place'],Miller Place,1600000US3647306,40.943115,-72.9931,,36-47306,Q3460277,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Miller Place CDP, New York",11848.0,36,47306,Miller Place,1524486.0,36.0,103,Suffolk County, New York,11848.0,Census ACS5 Places
Sea Cliff,Nassau County,4300742.0,45,553.0,380.0,553,386,geoId/3666047,5062.0,42.1,['Sea Cliff'],Sea Cliff,1600000US3666047,40.846158,-73.6444,7cd44bd8-aaf0-4af6-9621-76611e0c79f8,36-66047,Q3448869,"['geoId/36', 'geoId/36059', 'zip/11579']",11579,geoId/36059,Nassau County,,,,,,,,"Sea Cliff village, New York",5062.0,36,66047,Sea Cliff,1389160.0,36.0,059,Nassau County, New York,5062.0,Census ACS5 Places
Fort Edward,Washington County,53203225.0,45,268.0,380.0,268,387,wikidataId/Q919719,5991.0,,['Fort Edward'],Fort Edward,,43.26702,-73.58456,,,Q919719,['geoId/36115'],,geoId/36115,Washington County,945.0,"Fort Edward town, Washington County, New York",6020.0, New York,Washington County,26781,Fort Edward,"Fort Edward village, New York",3189.0,36,26770,Fort Edward,61310.0,36.0,115,Washington County, New York,6020.0,Census ACS5 County Subdivision
Putnam Valley,Putnam County,19151399.0,45,376.0,380.0,376,388,geoId/3660147,11762.0,,['Putnam Valley'],Putnam Valley,,41.335833333333,-73.873888888889,1d869065-dfc0-4d89-81ab-8f63e044638a,36-60147,Q3708790,['geoId/36079'],,geoId/36079,Putnam County,707.0,"Putnam Valley town, Putnam County, New York",11773.0, New York,Putnam County,60147,Putnam Valley,,,,,,97942.0,36.0,079,Putnam County, New York,11773.0,Census ACS5 County Subdivision
Clarence Center,Erie County,14110454.0,44,422.0,389.0,422,389,geoId/3615836,3337.0,38.6,['Clarence Center'],Clarence Center,1600000US3615836,43.008425,-78.630815,,36-15836,Q3268649,"['geoId/36', 'geoId/36029']",,geoId/36029,Erie County,,,,,,,,"Clarence Center CDP, New York",3264.0,36,15836,Clarence Center,951232.0,36.0,029,Erie County, New York,3264.0,Census ACS5 Places
Cold Spring Harbor,Suffolk County,430994433.0,44,69.0,389.0,69,390,geoId/3616958,3064.0,37.0,['Cold Spring Harbor'],Cold Spring Harbor,1600000US3616958,40.863333333333,-73.443055555556,,36-16958,Q953080,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Cold Spring Harbor CDP, New York",2979.0,36,16958,Cold Spring Harbor,1524486.0,36.0,103,Suffolk County, New York,2979.0,Census ACS5 Places
Eden,Erie County,7882215.0,44,481.0,389.0,481,391,geoId/3623404,3346.0,50.0,"['Eden', 'Eden (CDP), New York']",Eden,1600000US3623404,42.6494,-78.8967,,36-23404,Q3460268,"['geoId/36', 'geoId/36029', 'zip/14057']",14057,geoId/36029,Erie County,293.0,"Eden town, Erie County, New York",7572.0, New York,Erie County,23415,Eden,"Eden CDP, New York",3157.0,36,23404,Eden,951232.0,36.0,029,Erie County, New York,7572.0,Census ACS5 County Subdivision
Bridgehampton,Suffolk County,40601013.0,44,300.0,389.0,300,392,geoId/3608136,2953.0,48.3,['Bridgehampton'],Bridgehampton,1600000US3608136,40.9331,-72.305709,,36-08136,Q2925171,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Bridgehampton CDP, New York",1418.0,36,08136,Bridgehampton,1524486.0,36.0,103,Suffolk County, New York,1418.0,Census ACS5 Places
Carthage,Jefferson County,86606230.0,44,199.0,389.0,199,393,geoId/3612683,3236.0,31.0,['Carthage'],Carthage,1600000US3612683,43.9811,-75.603012,,36-12683,Q533728,"['geoId/36', 'geoId/36045', 'zip/13619']",13619,geoId/36045,Jefferson County,,,,,,,,"Carthage village, New York",3399.0,36,12683,Carthage,117445.0,36.0,045,Jefferson County, New York,3399.0,Census ACS5 Places
Burnt Hills,Saratoga County,9824771.0,44,459.0,389.0,459,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,236328.0,36.0,091,Saratoga County, New York,,
Garnerville,Rockland County,2598113.0,44,617.0,389.0,617,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,337326.0,36.0,087,Rockland County, New York,,
Clay,Onondaga County,12444179.0,44,434.0,389.0,434,396,geoId/3616067,60527.0,,['Clay'],Clay,,43.150555555556,-76.194166666667,13cff30d-012e-4e59-9452-7504310296eb,36-16067,Q684627,['geoId/36067'],,geoId/36067,Onondaga County,581.0,"Clay town, Onondaga County, New York",60219.0, New York,Onondaga County,16067,Clay,,,,,,472637.0,36.0,067,Onondaga County, New York,60219.0,Census ACS5 County Subdivision
Watkins Glen,Schuyler County,83042861.0,44,204.0,389.0,204,397,geoId/3678696,1863.0,47.2,['Watkins Glen'],Watkins Glen,1600000US3678696,42.380549,-76.866987,,36-78696,Q2738851,"['geoId/36', 'geoId/36097', 'zip/14891']",14891,geoId/36097,Schuyler County,,,,,,,,"Watkins Glen village, New York",1777.0,36,78696,Watkins Glen,17855.0,36.0,097,Schuyler County, New York,1777.0,Census ACS5 Places
Mastic Beach,Suffolk County,4987062.0,43,529.0,398.0,529,398,geoId/3646085,14199.0,38.0,['Mastic Beach'],Mastic Beach,1600000US3646085,40.761388888889,-72.836722,445d998d-7860-4260-99ab-2a911ee5dc24,36-46085,Q3461049,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Mastic Beach CDP, New York",16189.0,36,46085,Mastic Beach,1524486.0,36.0,103,Suffolk County, New York,16189.0,Census ACS5 Places
